1000, 0.02342, 0.005
2000, 0.01282, 0.005
3000, 0.01108, 0.005
4000, 0.00992, 0.005
5000, 0.00955, 0.005
6000, 0.00894, 0.005
7000, 0.00858, 0.005
8000, 0.00828, 0.005
9000, 0.00800, 0.005
10000, 0.00781, 0.005
11000, 0.00973, 0.02
12000, 0.00892, 0.02
13000, 0.00843, 0.02
14000, 0.00806, 0.02
15000, 0.00776, 0.02
16000, 0.00747, 0.02
17000, 0.00700, 0.02
18000, 0.00698, 0.02
19000, 0.00678, 0.02
20000, 0.00671, 0.02
21000, 0.00628, 0.02
22000, 0.00645, 0.02
23000, 0.00609, 0.02
24000, 0.00586, 0.02
25000, 0.00599, 0.02
26000, 0.00566, 0.02
27000, 0.00552, 0.02
28000, 0.00527, 0.02
29000, 0.00525, 0.02
30000, 0.00511, 0.02
31000, 0.00521, 0.02
32000, 0.00517, 0.02
33000, 0.00493, 0.02
34000, 0.00482, 0.02
35000, 0.00482, 0.02
36000, 0.00473, 0.02
37000, 0.00464, 0.02
38000, 0.00467, 0.02
39000, 0.00452, 0.02
40000, 0.00437, 0.02
41000, 0.00430, 0.02
42000, 0.00439, 0.02
43000, 0.00426, 0.02
44000, 0.00407, 0.02
45000, 0.00425, 0.02
46000, 0.00421, 0.02
47000, 0.00402, 0.02
48000, 0.00383, 0.02
49000, 0.00387, 0.02
50000, 0.00384, 0.02
51000, 0.00387, 0.02
52000, 0.00390, 0.02
53000, 0.00374, 0.02
54000, 0.00363, 0.02
55000, 0.00351, 0.02
56000, 0.00354, 0.02
57000, 0.00354, 0.02
58000, 0.00341, 0.02
59000, 0.00354, 0.02
60000, 0.00338, 0.02
61000, 0.00343, 0.02
62000, 0.00350, 0.02
63000, 0.00387, 0.02
64000, 0.00343, 0.02
65000, 0.00341, 0.02
66000, 0.00349, 0.02
67000, 0.00326, 0.02
68000, 0.00321, 0.02
69000, 0.00318, 0.02
70000, 0.00316, 0.02
71000, 0.00314, 0.02
72000, 0.00321, 0.02
73000, 0.00310, 0.02
74000, 0.00317, 0.02
75000, 0.00337, 0.02
76000, 0.00302, 0.02
77000, 0.00308, 0.02
78000, 0.00305, 0.02
79000, 0.00308, 0.02
80000, 0.00306, 0.02
81000, 0.00305, 0.02
82000, 0.00304, 0.02
83000, 0.00295, 0.02
84000, 0.00294, 0.02
85000, 0.00299, 0.02
86000, 0.00295, 0.02
87000, 0.00298, 0.02
88000, 0.00297, 0.02
89000, 0.00293, 0.02
90000, 0.00291, 0.02
91000, 0.00282, 0.02
92000, 0.00286, 0.02
93000, 0.00312, 0.02
94000, 0.00296, 0.02
95000, 0.00304, 0.02
96000, 0.00288, 0.02
97000, 0.00285, 0.02
98000, 0.00289, 0.02
99000, 0.00282, 0.02
100000, 0.00277, 0.02
