100, 0.09104, 0.005
200, 0.03347, 0.005
300, 0.03194, 0.005
400, 0.02848, 0.005
500, 0.02581, 0.005
600, 0.02520, 0.005
700, 0.02159, 0.005
800, 0.02094, 0.005
900, 0.02084, 0.005
1000, 0.01995, 0.005
1100, 0.01872, 0.005
1200, 0.01781, 0.005
1300, 0.01673, 0.005
1400, 0.01675, 0.005
1500, 0.01725, 0.005
1600, 0.01590, 0.005
1700, 0.01520, 0.005
1800, 0.01466, 0.005
1900, 0.01575, 0.005
2000, 0.01467, 0.005
2100, 0.01432, 0.005
2200, 0.01336, 0.005
2300, 0.01309, 0.005
2400, 0.01421, 0.005
2500, 0.01373, 0.005
2600, 0.01261, 0.005
2700, 0.01317, 0.005
2800, 0.01315, 0.005
2900, 0.01204, 0.005
3000, 0.01191, 0.005
3100, 0.01291, 0.005
3200, 0.01276, 0.005
3300, 0.01217, 0.005
3400, 0.01213, 0.005
3500, 0.01135, 0.005
3600, 0.01178, 0.005
3700, 0.01071, 0.005
3800, 0.01210, 0.005
3900, 0.01150, 0.005
4000, 0.01065, 0.005
4100, 0.01074, 0.005
4200, 0.01130, 0.005
4300, 0.01082, 0.005
4400, 0.01021, 0.005
4500, 0.01064, 0.005
4600, 0.01055, 0.005
